viviendas,planta,dormitorios,banos,superficie,terraza,precio
Vivienda A,1,2,2,98.57,9.77,210.000
Vivienda B,1,4,2,131.73,11.86,275.000
Vivienda C,0,2,2,98.57,9.77,214.000
Vivienda D,0,4,2,131.73,11.86,281.000
Vivienda E,0,4,2,131.73,11.86,283.000
Vivienda F,0,3,2,110.95,9.77,240.000
Vivienda G,1,4,2,159.91,20.78,324.000
Vivienda H,1,3,2,123.49,16.88,253.000
Vivienda I,0,4,2,159.91,20.78,328.000
Vivienda J,0,3,2,123.49,16.88,257.000
Vivienda K,0,4,2,159.91,20.78,330.000
Vivienda L,0,4,2,159.91,20.78,332.000
Vivienda M,0,3,2,123.49,16.88,264.000
Vivienda N,1,3,2,125.87,16.83,259.000
Vivienda O,1,4,2,143.27,23.11,290.000
Vivienda P,0,3,2,125.87,16.83,263.000
